物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
第１麻生ビル,東急東横線,中目黒駅,5,2K,2,10,目黒区上目黒２
コーポ代々木上原,小田急線,代々木上原駅,1,2K,5,10.2,渋谷区西原３
エステ－ジ築地,日比谷線,築地駅,5,2LDK,5,17.5,中央区築地７
9階建 築54年,有楽町線,江戸川橋駅,2,3K,5,11.5,文京区関口１
パレーシャル35,千代田線,根津駅,3,2DK,2,11.7,文京区根津２
7階建 築55年,銀座線,外苑前駅,5,2DK,5,20,港区南青山４
5階建 築36年,丸ノ内線,東高円寺駅,5,2DK,2,9.5,杉並区梅里１
西池袋ローヤルコーポ,副都心線,要町駅,1,2LDK,6,14,豊島区西池袋５
2階建 築54年,千代田線,根津駅,2,2K,1,7.5,文京区根津２
8階建 築53年,ＪＲ中央線,荻窪駅,5,2K,4,9.5,杉並区荻窪３
岩本町ビル,ＪＲ総武線快速,馬喰町駅,4,2DK,4,18,千代田区岩本町１
藤和護国寺コープ,有楽町線,東池袋駅,5,2DK,2,12,文京区大塚６
シャーメゾンステージ秋葉原,ＪＲ山手線,秋葉原駅,4,2K,12,15.2,千代田区神田佐久間河岸
エスト・メール東大井,ＪＲ京浜東北線,大井町駅,5,2DK,2,14.4,品川区東大井６
地下1地上8階建 築45年,有楽町線,東池袋駅,5,2DK,5,11,文京区大塚６
アソシエ―ル護国寺,有楽町線,護国寺駅,8,3LDK,2,18.9,文京区大塚６
中野区本町6丁目20-15戸建,丸ノ内線,新中野駅,3,3LDK,3,19,中野区本町６
13階建 築2年,日比谷線,入谷駅,3,2LDK,3,18.8,台東区下谷１
サンライズ駒込,ＪＲ山手線,駒込駅,3,2K,2,8,豊島区駒込３
市谷伊東ハイム,有楽町線,市ケ谷駅,2,3DK,4,15,新宿区市谷田町２
5階建 築56年,ＪＲ京浜東北線,大井町駅,5,2DK,3,12,品川区南品川６
グリーンハイツ本郷,都営大江戸線,春日駅,4,2K,3,10,文京区本郷１
4階建 築35年,丸ノ内線,本郷三丁目駅,5,2LDK,3,17,文京区本郷３
公視ビル,東西線,早稲田駅,5,2K,4,7.8,新宿区戸山１
ブリリアイスト駒込,ＪＲ山手線,駒込駅,5,2DK,3,16.5,北区西ケ原１
3階建 築27年,有楽町線,氷川台駅,5,2DK,3,9.8,練馬区氷川台４
7階建 築52年,ＪＲ中央線,荻窪駅,5,2K,4,9,杉並区上荻１
ナリキビル,ＪＲ山手線,田端駅,5,2DK,2,11,北区田端２
Totsu Central Residence,丸ノ内線,新大塚駅,1,2DK,4,16,豊島区南大塚２
ストーク中村,ＪＲ京浜東北線,大井町駅,5,2DK,4,12.5,品川区大井１
世継ビル,丸ノ内線,方南町駅,1,2K,5,8.8,杉並区堀ノ内１
ハイエスト荻窪,丸ノ内線,荻窪駅,3,2LDK,13,19,杉並区荻窪５
2階建 築38年,副都心線,地下鉄赤塚駅,5,2LDK,1-2,12.5,板橋区赤塚２
中野坂上ダイヤハイツ,丸ノ内線,中野坂上駅,1,2K,5,11.8,中野区本町２
3階建 築50年,東西線,落合駅,4,2DK,2,9,中野区東中野４
メゾンハギ,ＪＲ山手線,池袋駅,10,2DK,1,15.1,豊島区西池袋５
アーバンパレス千駄木,千代田線,千駄木駅,1,2K,4,8.7,文京区千駄木３
メゾンド巣鴨,ＪＲ山手線,巣鴨駅,5,3DK,2,16,豊島区巣鴨１
Ｌｉｌｙｃｏｌｏｒ,副都心線,地下鉄赤塚駅,5,2DK,1,8,板橋区赤塚２
メゾンジュン,ＪＲ常磐線,南千住駅,5,2DK,2,8.5,荒川区南千住５
ひいらぎビル,東西線,門前仲町駅,1,2K,2,7.3,江東区門前仲町２
小玉荘,千代田線,根津駅,4,2K,2,6.6,台東区池之端２
12階建 築49年,ＪＲ山手線,鶯谷駅,6,2LDK,11,13,台東区根岸３
TOPKAPI(トプカピ),小田急線,代々木上原駅,5,2K,1,12,渋谷区西原３
ライオンズマンション日暮里前,ＪＲ山手線,日暮里駅,2,3DK,4,16.8,荒川区東日暮里５
グリーンハイム,東武東上線,成増駅,7,2K,2,7.6,練馬区旭町３
ファミリーテラス桜台C棟,有楽町線,氷川台駅,4,2DK,1,8.5,練馬区桜台３
成増第六シャトレマンション,有楽町線,地下鉄成増駅,5,2LDK,1,11.8,練馬区旭町３
7階建 築37年,銀座線,浅草駅,4,2DK,3,11,台東区花川戸１
木村アパート,千代田線,根津駅,3,2DK,2,7,文京区根津２
ヴィラ若宮,都営大江戸線,牛込神楽坂駅,4,2LDK,3,15.8,新宿区若宮町
富山ハイム,東西線,早稲田駅,5,2DK,2,12.5,新宿区弁天町
2階建 築49年,ＪＲ総武線,中野駅,5,2K,2,9,中野区中野２
マ・メゾン,ＪＲ中央線,荻窪駅,5,3DK,2,17.5,杉並区天沼３
志げる荘,千代田線,町屋駅,5,2K,2,7.5,荒川区町屋３
12階建 築38年,東西線,東陽町駅,5,3LDK,9,18.8,江東区南砂２
アンソレイエ小竹,有楽町線,小竹向原駅,5,2LDK,4,13.5,練馬区小竹町２
朝日九段マンション,東西線,九段下駅,2,2DK,2,12.3,千代田区九段北１
14階建 築55年,ＪＲ山手線,高田馬場駅,5,2LDK,4,16.3,新宿区下落合２
上山ビル,ＪＲ山手線,鶯谷駅,2,2K,4,8.3,台東区根岸３
5階建 築34年,丸ノ内線,方南町駅,3,2LDK,2,14,杉並区方南２
5階建 築45年,東西線,西葛西駅,4,2K,3,9,江戸川区西葛西３
パークサイド桜台,有楽町線,氷川台駅,5,3LDK,3,14,練馬区桜台３
バルトハイム,有楽町線,千川駅,4,2DK,2,9,豊島区要町３
真砂マンション,都営大江戸線,本郷三丁目駅,4,2LDK,5,12.3,文京区本郷４
バウムプラッツ,東西線,木場駅,5,2K,3,11.5,江東区木場６
14階建 築17年,有楽町線,要町駅,4,2K,7,11.8,豊島区西池袋５
コーポ水無月,東西線,落合駅,4,2K,1,8.4,新宿区上落合３
ツイン・コート,東西線,西葛西駅,3,2LDK,7,10.4,江戸川区西葛西３
エースフラット,東西線,神楽坂駅,3,2K,3,7.8,新宿区築地町
ファミ－ルＡ,副都心線,小竹向原駅,4,2K,2,8,板橋区小茂根１
市ヶ谷第２ローヤルコーポ,有楽町線,市ケ谷駅,4,2DK,3,10.9,新宿区市谷砂土原町１
AXAS駒込Luxease,ＪＲ山手線,駒込駅,4,2K,9,11.5,豊島区駒込１
永代クリニックビル,東西線,門前仲町駅,5,2K,3,9.5,江東区永代２
KDソシア,丸ノ内線,新高円寺駅,5,2DK,1,10.6,杉並区梅里１
PLUS OnE(プラスワン),ＪＲ山手線,五反田駅,5,2LDK,11,19.5,品川区上大崎３
近江マンション,ＪＲ山手線,池袋駅,5,2K,4,8,豊島区西池袋３
2階建 築35年,有楽町線,地下鉄赤塚駅,5,2DK,2,7.8,板橋区赤塚新町３
3階建 築39年,ＪＲ山手線,新宿駅,10,2DK,1,13.5,新宿区西新宿８
妙義坂マンション,ＪＲ山手線,駒込駅,3,2DK,5,11,豊島区駒込３
中葛西貸家2F,東西線,葛西駅,4,3K,2,9,江戸川区中葛西３
プラザサンタナカ１号棟,有楽町線,地下鉄成増駅,3,2DK,4,9.5,板橋区成増１
ＳＮビル,ＪＲ中央線,荻窪駅,3,2DK,3,12,杉並区荻窪４
コスモス神楽坂（ＲＣ）,東西線,神楽坂駅,3,2SK,1,9.2,新宿区赤城下町
コーポタナカ,有楽町線,地下鉄赤塚駅,5,2K,2,3.7,練馬区北町８
シャルマン・ヴィラージュ,東西線,葛西駅,4,3DK,7,13.1,江戸川区中葛西８
4階建 築57年,ＪＲ中央線,荻窪駅,5,2K,3,8.6,杉並区天沼３
シュロスにりん草,有楽町線,小竹向原駅,4,3DK,1-2,13.7,板橋区向原１
11階建 築41年,ＪＲ山手線,恵比寿駅,4,2DK,6,13,渋谷区恵比寿４
サンマイトC,有楽町線,千川駅,4,2K,2,7.5,豊島区千川１
ＧＳハイム東高円寺,丸ノ内線,東高円寺駅,5,2K,4,11.5,杉並区和田３
高田マンション,丸ノ内線,新高円寺駅,4,2K,2,9.9,杉並区松ノ木３
サンマイトD,有楽町線,千川駅,4,2K,2,7.9,豊島区千川１
Ｈａｒｃｈ荒川,千代田線,町屋駅,5,2DK,1-2,10,荒川区荒川４
高輪ホワイトマンション,都営浅草線,泉岳寺駅,1,2K,9,13.8,港区高輪２
地下1地上5階建 築38年,丸ノ内線,新中野駅,3,2LDK,2,17.5,中野区本町４
山秀マンション,東西線,葛西駅,5,2K,4,7.5,江戸川区中葛西３
ガーデンハイムB,副都心線,平和台駅,5,3DK,1,10.9,練馬区早宮２
ＭＥＺＯＮ　ＯＮＵＫＩ,千代田線,湯島駅,5,2K,4,11,文京区湯島４
富士見コーポ,ＪＲ山手線,田端駅,5,2K,1,5.8,北区田端６
コンフォリア・リヴ根岸二丁目,ＪＲ山手線,鶯谷駅,3,2K,5,10.8,台東区根岸２
4階建 築66年,日比谷線,神谷町駅,2,2LDK,4,16.9,港区虎ノ門３
クリスタル3,日比谷線,三ノ輪駅,3,2DK,3,8.8,荒川区東日暮里１
内田ビル,ＪＲ山手線,駒込駅,5,2DK,4,12,文京区本駒込５
7階建 築32年,千代田線,綾瀬駅,5,2DK,3,8.6,足立区綾瀬２
10階建 築35年,東西線,西葛西駅,4,2DK,8,10.4,江戸川区西葛西３
ヴィラ宇津木,東西線,早稲田駅,11,2DK,5,11.2,新宿区早稲田鶴巻町
9階建 築44年,丸ノ内線,本郷三丁目駅,3,2DK,4,15,文京区本郷３
7階建 築35年,ＪＲ山手線,御徒町駅,10,2LDK,5,15.9,文京区湯島２
地下2地上14階建 築46年,ＪＲ京浜東北線,王子駅,2,2LDK,2,15,北区王子１
戸塚ハイツ,丸ノ内線,南阿佐ケ谷駅,5,2K,3,8,杉並区阿佐谷南１
幸眞ビル,有楽町線,地下鉄成増駅,2,2DK,1,10.4,板橋区成増１
石塚アパート,千代田線,根津駅,3,2K,1,6.5,文京区根津２
11階建 築20年,ＪＲ京葉線,八丁堀駅,4,2DK,2,17.9,中央区新川２
高田マンション,ＪＲ山手線,高田馬場駅,4,2DK,2,10.5,豊島区高田３
10階建 築40年,ＪＲ京浜東北線,蒲田駅,3,2DK,7,12,大田区西蒲田８
オークマンション,日比谷線,三ノ輪駅,3,2DK,6,11,台東区根岸５
グリーンパーク,千代田線,千駄木駅,3,2DK,1,13.2,文京区千駄木３
岩崎ビル,ＪＲ常磐線,綾瀬駅,2,2DK,6,9.9,足立区綾瀬３
12階建 築50年,都営大江戸線,中野坂上駅,5,2LDK,9,11,中野区本町３
平和堂ビル,ＪＲ山手線,大塚駅,3,2DK,4,10,豊島区北大塚２
11階建 築28年,日比谷線,三ノ輪駅,4,2LDK,9,14.8,荒川区南千住１
メゾン淀橋,丸ノ内線,中野坂上駅,5,3LDK,3,18,中野区中央１
5階建 築50年,丸ノ内線,新高円寺駅,5,2DK,4,14.5,杉並区堀ノ内３
ストーク森山ビル,丸ノ内線,本郷三丁目駅,4,2DK,4,13,文京区本郷２
3階建 新築,丸ノ内線,方南町駅,4,2LDK,2,18,中野区南台５
アトレ・アイリィー,有楽町線,平和台駅,3,3DK,1,11.1,練馬区北町６
4階建 築52年,東西線,門前仲町駅,5,2DK,2,10,江東区富岡１
平和台グリーンハイツ,有楽町線,平和台駅,4,3DK,3,12.7,練馬区平和台４
春日マンション,千代田線,乃木坂駅,3,3DK,2,19,港区南青山１
メゾンアルファ,東西線,西葛西駅,4,2LDK,3,10,江戸川区西葛西７
地下1地上8階建 築41年,ＪＲ山手線,高田馬場駅,4,3LDK,6,16.3,新宿区高田馬場１
阿佐谷大同マンション,丸ノ内線,南阿佐ケ谷駅,2,2K,3,8.5,杉並区阿佐谷南１
4階建 築58年,丸ノ内線,南阿佐ケ谷駅,2,2K,2,8.5,杉並区阿佐谷南１
菊水荘,ＪＲ山手線,目白駅,4,2DK,4,8.7,新宿区下落合３
メトロ中野新橋マンションB館,丸ノ内線,中野新橋駅,2,2DK,2,11,中野区本町３
4階建 築46年,有楽町線,小竹向原駅,5,3DK,2,9.4,板橋区小茂根１
3階建 築46年,ＪＲ京浜東北線,王子駅,5,2K,2,7,北区豊島１
ロイヤルハイツ,丸ノ内線,南阿佐ケ谷駅,5,2DK,1,9.8,杉並区阿佐谷南１
レルム東駒形,都営浅草線,浅草駅,5,2DK,4-4,12,墨田区東駒形１
サンデックビル,有楽町線,地下鉄赤塚駅,5,3LDK,3,12.5,練馬区北町３
7階建 築51年,東西線,門前仲町駅,5,2DK,6,9.8,江東区永代２
2階建 築42年,千代田線,町屋駅,3,3K,-,13.2,荒川区町屋２
パルハイツ　（東和5丁目）,千代田線,北綾瀬駅,5,2DK,1,6.9,足立区東和５
ヴィルヌーブＫＯＮＯ,有楽町線,要町駅,3,3DK,1,15,豊島区西池袋５
パラシオン高円寺,丸ノ内線,東高円寺駅,4,2DK,3,11,杉並区梅里１
3階建 築24年,副都心線,小竹向原駅,3,2LDK,3,15,板橋区小茂根１
グランイーグル蒲田,ＪＲ京浜東北線,蒲田駅,3,3LDK,7,18.5,大田区蒲田５
清和マンション,都営三田線,春日駅,3,2DK,4,12.5,文京区本郷４
エクセレント豊受,丸ノ内線,新大塚駅,4,2K,3,10,豊島区南大塚２
コミネハイツ,丸ノ内線,新中野駅,4,2K,2,6.7,中野区中央３
10階建 築34年,東西線,西葛西駅,1,2DK,6,12,江戸川区西葛西５
12階建 築50年,東西線,東陽町駅,4,2LDK,9,18.5,江東区東陽４
熊谷ビル,銀座線,田原町駅,5,2K,3,8.2,台東区西浅草２
4階建 築42年,都営新宿線,曙橋駅,2,2K,4,7.5,新宿区荒木町
アーバンハイツ根岸,日比谷線,三ノ輪駅,1,2DK,4,9.8,台東区根岸５
サンテラス中野新橋,丸ノ内線,中野新橋駅,3,2K,4,7.8,中野区本町３
ルシマン月島,有楽町線,月島駅,4,2LDK,9,20,中央区月島１
コートハウス篠,副都心線,小竹向原駅,3,3LDK,1,14,練馬区小竹町２
綾瀬プルミエ,千代田線,綾瀬駅,3,2LDK,11,13.9,足立区綾瀬１
カスタリア北上野,日比谷線,入谷駅,2,2LDK,8,19.8,台東区北上野１
コ－ポサンフラワ－,千代田線,北綾瀬駅,5,2K,3,6.4,足立区加平１
カーサ・プリモ,有楽町線,平和台駅,2,2DK,4,12.3,練馬区早宮２
ハイムお茶の水３・４・５,ＪＲ総武線,御茶ノ水駅,5,2K,5,11,文京区本郷３
3階建 築35年,有楽町線,地下鉄成増駅,5,2DK,3,11,板橋区成増２
6階建 築40年,ＪＲ山手線,日暮里駅,5,2DK,5,11,荒川区東日暮里５
東陽町住宅,東西線,東陽町駅,5,3LDK,13,13,江東区東陽４
栄ビル,丸ノ内線,茗荷谷駅,4,3DK,3,19,文京区小石川５
HOUSE入谷,日比谷線,入谷駅,1,3LDK,-,13.5,台東区入谷１
4階建 築33年,ＪＲ中央線,荻窪駅,5,2LDK,3,13.5,杉並区上荻２
パークビュー東高円寺,丸ノ内線,東高円寺駅,3,2DK,8,10,杉並区高円寺南１
ハイム・デルムンド,ＪＲ山手線,大塚駅,4,2DK,2,12.5,豊島区南大塚１
10階建 築39年,丸ノ内線,中野坂上駅,4,2DK,5,12.3,中野区本町１
千駄木３丁目貸戸建,千代田線,千駄木駅,5,3SDK,-,16.5,文京区千駄木３
ヒルトップ３,東武東上線,成増駅,4,2K,1,6.3,板橋区成増２
新大塚共同住宅,丸ノ内線,新大塚駅,1,2LDK,9,15,豊島区東池袋５
小幡ハイツ,日比谷線,南千住駅,4,2K,2,6,荒川区南千住５
2階建 築61年,日比谷線,南千住駅,4,2K,2,6.8,荒川区南千住５
湯島武蔵野マンション,丸ノ内線,本郷三丁目駅,4,2K,1,8,文京区本郷３
第２三笠マンション,ＪＲ山手線,池袋駅,8,2K,4,9.1,豊島区西池袋５
グランドール白石,ＪＲ山手線,大塚駅,3,2DK,3,13.5,豊島区南大塚３
旭マンション,東西線,南砂町駅,5,2K,3,8.5,江東区南砂４
東武西池袋サンライトマンション,ＪＲ山手線,池袋駅,3,2K,2,10,豊島区西池袋３
10階建 築33年,東西線,西葛西駅,3,2LDK,5,15,江戸川区西葛西５
小竹ファミリーマンション,有楽町線,小竹向原駅,5,2DK,1,8.8,練馬区小竹町２
プリンセスハイツ東日暮里,ＪＲ山手線,日暮里駅,5,2DK,3,11.6,荒川区東日暮里６
11階建 築45年,ＪＲ京浜東北線,大井町駅,5,2SDK,7,15,品川区大井１
11階建 築35年,東西線,西葛西駅,2,2DK,11,11.8,江戸川区西葛西６
代々木パークライフ,小田急線,代々木八幡駅,4,2K,2,11,渋谷区元代々木町
中田ビル,ＪＲ中央線,荻窪駅,3,2LDK,5,15,杉並区荻窪４
田原町グリーンハイツ,銀座線,田原町駅,2,2DK,6,12.5,台東区雷門１
3階建 築59年,丸ノ内線,新高円寺駅,5,2K,3,7,杉並区高円寺南２
4階建 築50年,丸ノ内線,本郷三丁目駅,5,2K,2,8,文京区本郷５
エンゼルハイム神楽坂,東西線,神楽坂駅,5,2DK,2,12,新宿区赤城下町
5階建 築51年,丸ノ内線,中野富士見町駅,4,2K,4,6.8,中野区弥生町５
大野千川ビル,副都心線,千川駅,1,3DK,6,11.5,豊島区要町３
スカイマンション,有楽町線,地下鉄成増駅,4,2DK,2,9,板橋区成増２
市峰マンション,銀座線,田原町駅,4,2K,4,7,台東区西浅草２
フラット篠,有楽町線,要町駅,5,2DK,1,9.5,豊島区要町１
VILLA月島,都営大江戸線,月島駅,3,3DK,1,16,中央区佃３
鶯谷富士パーム,日比谷線,入谷駅,5,2DK,5,8.4,台東区根岸４
8階建 築43年,南北線,王子駅,4,2K,8,10.8,北区王子１
石川ビル,ＪＲ山手線,大崎駅,5,2K,3,12,品川区大崎４
大山ハウス,千代田線,代々木上原駅,4,2DK,1,10,渋谷区大山町
中野本町ローヤルコーポ,丸ノ内線,中野新橋駅,5,2K,1,8.7,中野区本町３
8階建 築6年,丸ノ内線,中野新橋駅,3,2LDK,4,16.8,中野区弥生町２
ボヌール音羽,有楽町線,江戸川橋駅,5,2K,4,12.5,文京区音羽１
地下1地上6階建 築28年,東西線,西葛西駅,5,3DK,4,11.6,江戸川区西葛西７
3階建 築35年,西武池袋線,桜台駅,12,3DK,1,12.1,練馬区桜台３
ライオンズマンション高田馬場第２,ＪＲ山手線,高田馬場駅,5,2LDK,3,19,新宿区高田馬場４
サァラ成増,東武東上線,成増駅,1,2DK,4,9.5,板橋区成増３
中央２丁目戸建　南,丸ノ内線,中野坂上駅,5,3DK,1,13.5,中野区中央２
塩住ビル,副都心線,地下鉄成増駅,1,2DK,8,10.5,板橋区成増１
SYFORME東池袋,有楽町線,東池袋駅,4,2K,4,14.3,豊島区東池袋５
中野ローヤルコーポ,東西線,中野駅,3,2K,4,7.8,中野区中野４
海老原ビル,南北線,駒込駅,5,2DK,2,11,北区西ケ原１
Ｃｉｒｃｏｌａｒｅ　Ａｙａｓｅ,千代田線,綾瀬駅,5,2DK,7,11.9,足立区綾瀬２
セザール西品川,ＪＲ山手線,大崎駅,5,2LDK,2,14,品川区西品川３
地下1地上13階建 築46年,東西線,九段下駅,3,2K,5,13,千代田区九段北１
村上コーポ,ＪＲ山手線,高田馬場駅,3,2DK,1,9.95,新宿区下落合１
MKビル,ＪＲ山手線,駒込駅,2,2K,3,10,豊島区駒込１
村上コ－ポ３Ｆ,ＪＲ山手線,高田馬場駅,4,2DK,3,10.25,新宿区下落合１
木村ハイツ,有楽町線,千川駅,5,2K,2,6.4,豊島区千早２
瀧澤ハウス,有楽町線,江戸川橋駅,3,3LDK,8,19,文京区関口１
4階建 築59年,東西線,木場駅,4,2K,2,7.5,江東区木場２
4階建 築26年,日比谷線,三ノ輪駅,4,2K,3,10,台東区三ノ輪１
